"Cell_Identifier","Population","Cell_names","TrueLabel_CellLevel","Tissue_name","TrueLabel_TissuelLevel"
"102","SRR1275370","Cell_GW16_26","GW16",4,"NEURAL",3
"101","SRR1275368","Cell_GW16_25","GW16",4,"NEURAL",3
"77","SRR1275241","Cell_GW16_3","GW16",4,"NEURAL",3
"78","SRR1275243","Cell_GW16_4","GW16",4,"NEURAL",3
"79","SRR1275245","Cell_GW16_5","GW16",4,"NEURAL",3
"80","SRR1275247","Cell_GW16_6","GW16",4,"NEURAL",3
"81","SRR1275249","Cell_GW16_7","GW16",4,"NEURAL",3
"82","SRR1275251","Cell_GW16_8","GW16",4,"NEURAL",3
"83","SRR1275253","Cell_GW16_9","GW16",4,"NEURAL",3
"103","SRR1275255","Cell_GW21_1","GW21",5,"NEURAL",3
"104","SRR1275257","Cell_GW21_2","GW21",5,"NEURAL",3
"105","SRR1275259","Cell_GW21_3","GW21",5,"NEURAL",3
"106","SRR1275261","Cell_GW21_4","GW21",5,"NEURAL",3
"108","SRR1275265","Cell_GW21_6","GW21",5,"NEURAL",3
"107","SRR1275263","Cell_GW21_5","GW21",5,"NEURAL",3
"109","SRR1275267","Cell_GW21_7","GW21",5,"NEURAL",3
"110","SRR1275269","Cell_GW21_8","GW21",5,"NEURAL",3
"111","SRR1275271","Cell_GW21+3_1","GW21+3",6,"NEURAL",3
"112","SRR1275273","Cell_GW21+3_10","GW21+3",6,"NEURAL",3
"113","SRR1275275","Cell_GW21+3_11","GW21+3",6,"NEURAL",3
"114","SRR1275277","Cell_GW21+3_12","GW21+3",6,"NEURAL",3
"115","SRR1275279","Cell_GW21+3_13","GW21+3",6,"NEURAL",3
"116","SRR1275281","Cell_GW21+3_14","GW21+3",6,"NEURAL",3
"117","SRR1275283","Cell_GW21+3_15","GW21+3",6,"NEURAL",3
"118","SRR1275285","Cell_GW21+3_16","GW21+3",6,"NEURAL",3
"119","SRR1275287","Cell_GW21+3_2","GW21+3",6,"NEURAL",3
"120","SRR1275289","Cell_GW21+3_3","GW21+3",6,"NEURAL",3
"121","SRR1275291","Cell_GW21+3_4","GW21+3",6,"NEURAL",3
"122","SRR1275293","Cell_GW21+3_5","GW21+3",6,"NEURAL",3
"123","SRR1275295","Cell_GW21+3_6","GW21+3",6,"NEURAL",3
"124","SRR1275297","Cell_GW21+3_7","GW21+3",6,"NEURAL",3
"125","SRR1275299","Cell_GW21+3_8","GW21+3",6,"NEURAL",3
"126","SRR1275301","Cell_GW21+3_9","GW21+3",6,"NEURAL",3
"171","SRR1275303","Cell_HL60_1","HL60",7,"BLOOD",2
"172","SRR1275305","Cell_HL60_10","HL60",7,"BLOOD",2
"173","SRR1275307","Cell_HL60_11","HL60",7,"BLOOD",2
"175","SRR1275311","Cell_HL60_13","HL60",7,"BLOOD",2
"174","SRR1275309","Cell_HL60_12","HL60",7,"BLOOD",2
"176","SRR1275313","Cell_HL60_14","HL60",7,"BLOOD",2
"177","SRR1275315","Cell_HL60_15","HL60",7,"BLOOD",2
"178","SRR1275317","Cell_HL60_16","HL60",7,"BLOOD",2
"179","SRR1275319","Cell_HL60_17","HL60",7,"BLOOD",2
"180","SRR1275321","Cell_HL60_18","HL60",7,"BLOOD",2
"140","SRR1275179","Cell_HL60_19","HL60",7,"BLOOD",2
"141","SRR1275181","Cell_HL60_2","HL60",7,"BLOOD",2
"142","SRR1275183","Cell_HL60_20","HL60",7,"BLOOD",2
"143","SRR1275185","Cell_HL60_21","HL60",7,"BLOOD",2
"144","SRR1275187","Cell_HL60_22","HL60",7,"BLOOD",2
"145","SRR1275189","Cell_HL60_23","HL60",7,"BLOOD",2
"146","SRR1275191","Cell_HL60_24","HL60",7,"BLOOD",2
"147","SRR1275193","Cell_HL60_25","HL60",7,"BLOOD",2
"148","SRR1275195","Cell_HL60_26","HL60",7,"BLOOD",2
"149","SRR1275197","Cell_HL60_27","HL60",7,"BLOOD",2
"150","SRR1275199","Cell_HL60_28","HL60",7,"BLOOD",2
"152","SRR1275203","Cell_HL60_3","HL60",7,"BLOOD",2
"153","SRR1275205","Cell_HL60_30","HL60",7,"BLOOD",2
"154","SRR1275207","Cell_HL60_31","HL60",7,"BLOOD",2
"151","SRR1275201","Cell_HL60_29","HL60",7,"BLOOD",2
"155","SRR1275209","Cell_HL60_32","HL60",7,"BLOOD",2
"156","SRR1275211","Cell_HL60_33","HL60",7,"BLOOD",2
"157","SRR1275213","Cell_HL60_34","HL60",7,"BLOOD",2
"159","SRR1275217","Cell_HL60_36","HL60",7,"BLOOD",2
"158","SRR1275215","Cell_HL60_35","HL60",7,"BLOOD",2
"160","SRR1275219","Cell_HL60_37","HL60",7,"BLOOD",2
"161","SRR1275221","Cell_HL60_38","HL60",7,"BLOOD",2
"162","SRR1275223","Cell_HL60_39","HL60",7,"BLOOD",2
"163","SRR1275225","Cell_HL60_4","HL60",7,"BLOOD",2
"164","SRR1275227","Cell_HL60_40","HL60",7,"BLOOD",2
"165","SRR1275229","Cell_HL60_41","HL60",7,"BLOOD",2
"166","SRR1275231","Cell_HL60_42","HL60",7,"BLOOD",2
"167","SRR1275233","Cell_HL60_43","HL60",7,"BLOOD",2
"168","SRR1275235","Cell_HL60_44","HL60",7,"BLOOD",2
"169","SRR1275237","Cell_HL60_45","HL60",7,"BLOOD",2
"170","SRR1275239","Cell_HL60_46","HL60",7,"BLOOD",2
"127","SRR1275136","Cell_HL60_47","HL60",7,"BLOOD",2
"128","SRR1275138","Cell_HL60_48","HL60",7,"BLOOD",2
"129","SRR1275140","Cell_HL60_49","HL60",7,"BLOOD",2
"130","SRR1275142","Cell_HL60_5","HL60",7,"BLOOD",2
"131","SRR1275144","Cell_HL60_50","HL60",7,"BLOOD",2
"132","SRR1275146","Cell_HL60_51","HL60",7,"BLOOD",2
"133","SRR1275148","Cell_HL60_52","HL60",7,"BLOOD",2
"134","SRR1275150","Cell_HL60_53","HL60",7,"BLOOD",2
"135","SRR1275152","Cell_HL60_54","HL60",7,"BLOOD",2
"136","SRR1275154","Cell_HL60_6","HL60",7,"BLOOD",2
"137","SRR1275156","Cell_HL60_7","HL60",7,"BLOOD",2
"138","SRR1275158","Cell_HL60_8","HL60",7,"BLOOD",2
"139","SRR1275160","Cell_HL60_9","HL60",7,"BLOOD",2
"197","SRR1275162","Cell_iPS_1","iPS",8,"STEM",4
"198","SRR1275164","Cell_iPS_10","iPS",8,"STEM",4
"199","SRR1275166","Cell_iPS_11","iPS",8,"STEM",4
"200","SRR1275168","Cell_iPS_12","iPS",8,"STEM",4
"201","SRR1275172","Cell_iPS_14","iPS",8,"STEM",4
"202","SRR1275174","Cell_iPS_15","iPS",8,"STEM",4
"203","SRR1275176","Cell_iPS_16","iPS",8,"STEM",4
"181","SRR1275088","Cell_iPS_17","iPS",8,"STEM",4
"182","SRR1275090","Cell_iPS_18","iPS",8,"STEM",4
"184","SRR1275094","Cell_iPS_2","iPS",8,"STEM",4
"183","SRR1275092","Cell_iPS_19","iPS",8,"STEM",4
"186","SRR1275098","Cell_iPS_21","iPS",8,"STEM",4
"185","SRR1275096","Cell_iPS_20","iPS",8,"STEM",4
"187","SRR1275100","Cell_iPS_22","iPS",8,"STEM",4
"188","SRR1275102","Cell_iPS_23","iPS",8,"STEM",4
"189","SRR1275104","Cell_iPS_24","iPS",8,"STEM",4
"190","SRR1275106","Cell_iPS_3","iPS",8,"STEM",4
"191","SRR1275108","Cell_iPS_4","iPS",8,"STEM",4
"192","SRR1275110","Cell_iPS_5","iPS",8,"STEM",4
"193","SRR1275112","Cell_iPS_6","iPS",8,"STEM",4
"194","SRR1275114","Cell_iPS_7","iPS",8,"STEM",4
"195","SRR1275116","Cell_iPS_8","iPS",8,"STEM",4
"196","SRR1275118","Cell_iPS_9","iPS",8,"STEM",4
"238","SRR1275120","Cell_K562_1","K562",9,"BLOOD",2
"239","SRR1275122","Cell_K562_10","K562",9,"BLOOD",2
"240","SRR1275124","Cell_K562_11","K562",9,"BLOOD",2
"242","SRR1275128","Cell_K562_13","K562",9,"BLOOD",2
"241","SRR1275126","Cell_K562_12","K562",9,"BLOOD",2
"244","SRR1275132","Cell_K562_15","K562",9,"BLOOD",2
"243","SRR1275130","Cell_K562_14","K562",9,"BLOOD",2
"245","SRR1275134","Cell_K562_16","K562",9,"BLOOD",2
"216","SRR1275044","Cell_K562_17","K562",9,"BLOOD",2
"217","SRR1275046","Cell_K562_18","K562",9,"BLOOD",2
"218","SRR1275048","Cell_K562_19","K562",9,"BLOOD",2
"219","SRR1275050","Cell_K562_2","K562",9,"BLOOD",2
"220","SRR1275052","Cell_K562_20","K562",9,"BLOOD",2
"221","SRR1275054","Cell_K562_21","K562",9,"BLOOD",2
"222","SRR1275056","Cell_K562_22","K562",9,"BLOOD",2
"223","SRR1275058","Cell_K562_23","K562",9,"BLOOD",2
"224","SRR1275060","Cell_K562_24","K562",9,"BLOOD",2
"225","SRR1275062","Cell_K562_25","K562",9,"BLOOD",2
"226","SRR1275064","Cell_K562_26","K562",9,"BLOOD",2
"227","SRR1275066","Cell_K562_27","K562",9,"BLOOD",2
"228","SRR1275068","Cell_K562_28","K562",9,"BLOOD",2
"229","SRR1275070","Cell_K562_29","K562",9,"BLOOD",2
"230","SRR1275072","Cell_K562_3","K562",9,"BLOOD",2
"231","SRR1275074","Cell_K562_30","K562",9,"BLOOD",2
"232","SRR1275076","Cell_K562_31","K562",9,"BLOOD",2
"233","SRR1275078","Cell_K562_32","K562",9,"BLOOD",2
"234","SRR1275080","Cell_K562_33","K562",9,"BLOOD",2
"235","SRR1275082","Cell_K562_34","K562",9,"BLOOD",2
"236","SRR1275084","Cell_K562_35","K562",9,"BLOOD",2
"237","SRR1275086","Cell_K562_36","K562",9,"BLOOD",2
"204","SRR1275004","Cell_K562_37","K562",9,"BLOOD",2
"205","SRR1275006","Cell_K562_38","K562",9,"BLOOD",2
"206","SRR1275008","Cell_K562_39","K562",9,"BLOOD",2
"207","SRR1275010","Cell_K562_4","K562",9,"BLOOD",2
"208","SRR1275012","Cell_K562_40","K562",9,"BLOOD",2
"209","SRR1275014","Cell_K562_41","K562",9,"BLOOD",2
"211","SRR1275018","Cell_K562_5","K562",9,"BLOOD",2
"210","SRR1275016","Cell_K562_42","K562",9,"BLOOD",2
"212","SRR1275020","Cell_K562_6","K562",9,"BLOOD",2
"213","SRR1275022","Cell_K562_7","K562",9,"BLOOD",2
"214","SRR1275024","Cell_K562_8","K562",9,"BLOOD",2
"215","SRR1275026","Cell_K562_9","K562",9,"BLOOD",2
"278","SRR1275028","Cell_Kera_1","Kera",10,"DERMAL",1
"279","SRR1275030","Cell_Kera_10","Kera",10,"DERMAL",1
"280","SRR1275032","Cell_Kera_11","Kera",10,"DERMAL",1
"281","SRR1275034","Cell_Kera_12","Kera",10,"DERMAL",1
"282","SRR1275036","Cell_Kera_13","Kera",10,"DERMAL",1
"283","SRR1275038","Cell_Kera_14","Kera",10,"DERMAL",1
"284","SRR1275040","Cell_Kera_15","Kera",10,"DERMAL",1
"285","SRR1275042","Cell_Kera_16","Kera",10,"DERMAL",1
"276","SRR1274410","Cell_Kera_17","Kera",10,"DERMAL",1
"277","SRR1274412","Cell_Kera_18","Kera",10,"DERMAL",1
"255","SRR1274147","Cell_Kera_19","Kera",10,"DERMAL",1
"256","SRR1274149","Cell_Kera_2","Kera",10,"DERMAL",1
"257","SRR1274151","Cell_Kera_20","Kera",10,"DERMAL",1
"258","SRR1274153","Cell_Kera_21","Kera",10,"DERMAL",1
"259","SRR1274155","Cell_Kera_22","Kera",10,"DERMAL",1
"260","SRR1274157","Cell_Kera_23","Kera",10,"DERMAL",1
"261","SRR1274159","Cell_Kera_24","Kera",10,"DERMAL",1
"262","SRR1274161","Cell_Kera_25","Kera",10,"DERMAL",1
"263","SRR1274163","Cell_Kera_26","Kera",10,"DERMAL",1
"264","SRR1274165","Cell_Kera_27","Kera",10,"DERMAL",1
"265","SRR1274167","Cell_Kera_28","Kera",10,"DERMAL",1
"266","SRR1274169","Cell_Kera_29","Kera",10,"DERMAL",1
"267","SRR1274171","Cell_Kera_3","Kera",10,"DERMAL",1
"268","SRR1274173","Cell_Kera_30","Kera",10,"DERMAL",1
"269","SRR1274175","Cell_Kera_31","Kera",10,"DERMAL",1
"270","SRR1274177","Cell_Kera_32","Kera",10,"DERMAL",1
"271","SRR1274179","Cell_Kera_33","Kera",10,"DERMAL",1
"272","SRR1274181","Cell_Kera_34","Kera",10,"DERMAL",1
"273","SRR1274183","Cell_Kera_35","Kera",10,"DERMAL",1
"274","SRR1274185","Cell_Kera_36","Kera",10,"DERMAL",1
"275","SRR1274187","Cell_Kera_37","Kera",10,"DERMAL",1
"246","SRR1274093","Cell_Kera_38","Kera",10,"DERMAL",1
"247","SRR1274095","Cell_Kera_39","Kera",10,"DERMAL",1
"248","SRR1274097","Cell_Kera_4","Kera",10,"DERMAL",1
"249","SRR1274099","Cell_Kera_40","Kera",10,"DERMAL",1
"250","SRR1274101","Cell_Kera_5","Kera",10,"DERMAL",1
"251","SRR1274103","Cell_Kera_6","Kera",10,"DERMAL",1
"252","SRR1274105","Cell_Kera_7","Kera",10,"DERMAL",1
"253","SRR1274107","Cell_Kera_8","Kera",10,"DERMAL",1
"254","SRR1274109","Cell_Kera_9","Kera",10,"DERMAL",1
"289","SRR1274111","Cell_NPC_1","NPC",11,"NEURAL",3
"290","SRR1274113","Cell_NPC_10","NPC",11,"NEURAL",3
"291","SRR1274115","Cell_NPC_11","NPC",11,"NEURAL",3
"292","SRR1274117","Cell_NPC_12","NPC",11,"NEURAL",3
"293","SRR1274119","Cell_NPC_13","NPC",11,"NEURAL",3
"294","SRR1274121","Cell_NPC_14","NPC",11,"NEURAL",3
"295","SRR1274123","Cell_NPC_15","NPC",11,"NEURAL",3
"296","SRR1274125","Cell_NPC_2","NPC",11,"NEURAL",3
"297","SRR1274127","Cell_NPC_3","NPC",11,"NEURAL",3
"298","SRR1274129","Cell_NPC_4","NPC",11,"NEURAL",3
"299","SRR1274131","Cell_NPC_5","NPC",11,"NEURAL",3
"300","SRR1274133","Cell_NPC_6","NPC",11,"NEURAL",3
"286","SRR1274085","Cell_NPC_7","NPC",11,"NEURAL",3
"287","SRR1274087","Cell_NPC_8","NPC",11,"NEURAL",3
"288","SRR1274089","Cell_NPC_9","NPC",11,"NEURAL",3
